rank,name,domain,country,headquarters,state,employees,ceo,funding,shortDescription,twitter,crunchbase,linkedin
62,Acquia,acquia.com,United States,"Boston, Massachusetts",Massachusetts,790,Tom Erickson,189,Experience management,http://twitter.com/acquia,https://www.crunchbase.com/organization/acquia,http://linkedin.com/company/167056
56,Adaptive Insights,adaptiveinsights.com,United States,"Palo Alto, California",California,475,Tom Bogan,176,Financial planning software,http://twitter.com/AdaptiveInsight,https://www.crunchbase.com/organization/adaptive-insights,http://linkedin.com/company/29762
5,Adyen,adyen.com,Netherlands,"Amsterdam, Netherlands",,600,Pieter van der Does,266,Online payments,http://twitter.com/adyenpayments,https://www.crunchbase.com/organization/adyen,http://linkedin.com/company/279565
73,AlienVault,alienvault.com,United States,"San Mateo, California",California,318,Barmak Meftah,116,Cybersecurity,http://twitter.com/alienvault,https://www.crunchbase.com/organization/alienvault,http://linkedin.com/company/232628
75,American Well,americanwell.com,United States,"Boston, Massachusetts",Massachusetts,300,Roy Schoenberg,136,Telehealth software,http://twitter.com/American_Well,https://www.crunchbase.com/organization/american-well,http://linkedin.com/company/1270875
24,Anaplan,anaplan.com,United States,"San Francisco, California",California,620,Frank Calderoni,240,Cloud planning platform,http://twitter.com/anaplan,https://www.crunchbase.com/organization/anaplan,http://linkedin.com/company/658814
32,AppDirect,appdirect.com,United States,"San Francisco, California",California,700,"Daniel Saks, Nicolas Desmarais",245,Service commerce,http://twitter.com/AppDirect,https://www.crunchbase.com/organization/appdirect,http://linkedin.com/company/1418447
25,AppNexus,appnexus.com,United States,"New York, New York",New York,1000,Brian O\'Kelley,281,Advertising tech,http://twitter.com/AppNexus,https://www.crunchbase.com/organization/appnexus,http://linkedin.com/company/325130
38,Apttus,apttus.com,United States,"San Mateo, California",California,1200,Kirk Krappe,274,Quote-to-cash software,http://twitter.com/Apttus,https://www.crunchbase.com/organization/apttus,http://linkedin.com/company/1181097
78,Asana,asana.com,United States,"San Francisco, California",California,260,Dustin Moskovitz,88,Enterprise collaboration,http://twitter.com/asana,https://www.crunchbase.com/organization/asana,http://linkedin.com/company/807257
43,Automattic,automattic.com,United States,"San Francisco, California",California,560,Matt Mullenweg,190,Website publishing,http://twitter.com/automattic,https://www.crunchbase.com/organization/automattic,http://linkedin.com/company/58194
21,Avalara,avalara.com,United States,"Seattle, Washington",Washington,1292,Scott McFarlane,300,Tax compliance automation,http://twitter.com/avalara,https://www.crunchbase.com/organization/avalara,http://linkedin.com/company/22026
89,AvidXchange,avidxchange.com,United States,"Charlotte, North Carolina",North Carolina,850,Michael Praeger,568,Accounts payable automation,http://twitter.com/AvidAutomates,https://www.crunchbase.com/organization/avidxchange,http://linkedin.com/company/54461
70,BlueJeans Network,bluejeans.com,United States,"Mountain View, California",California,450,Krish Ramakrishnan,175,Video conferencing,http://twitter.com/bluejeansnet,https://www.crunchbase.com/organization/blue-jeans-network,http://linkedin.com/company/1958201
