"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"1",1,1,"Jeff Bezos","Bezos","jeff-bezos","jeff-bezos",112000,54,"Amazon","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097",112
"2",2,2,"Bill Gates","Gates","bill-gates","bill-gates",90000,62,"Microsoft","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360",90
"3",3,3,"Warren Buffett","Buffett","warren-buffett","warren-buffett",84000,87,"Berkshire Hathaway","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322",84
"4",4,4,"Bernard Arnault","Arnault","bernard-arnault","bernard-arnault",72000,69,"LVMH","Fashion & Retail","M","France","//specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736",72
"5",5,5,"Mark Zuckerberg","Zuckerberg","mark-zuckerberg","mark-zuckerberg",71000,33,"Facebook","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044",71
"6",6,6,"Amancio Ortega","Ortega","amancio-ortega","amancio-ortega",70000,81,"Zara","Fashion & Retail","M","Spain","//specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019",70
"7",7,7,"Carlos Slim Helu","Slim Helu","carlos-slim-helu","carlos-slim-helu",67100,78,"telecom","Telecom","M","Mexico","//specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990",67.1
"8",8,8,"Charles Koch","Koch","charles-koch","charles-koch",60000,82,"Koch Industries","Diversified","M","United States","//specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797",60
"9",9,8,"David Koch","Koch","david-koch","david-koch",60000,77,"Koch Industries","Diversified","M","United States","//specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481",60
"10",10,10,"Larry Ellison","Ellison","larry-ellison","larry-ellison",58500,73,"software","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198",58.5
"11",11,11,"Michael Bloomberg","Bloomberg","michael-bloomberg","michael-bloomberg",50000,76,"Bloomberg LP","Media & Entertainment","M","United States","//specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784",50
"12",12,12,"Larry Page","Page","larry-page","larry-page",48800,44,"Google","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950",48.8
"13",13,13,"Sergey Brin","Brin","sergey-brin","sergey-brin",47500,44,"Google","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695",47.5
"14",14,14,"Jim Walton","Walton","jim-walton","jim-walton",46400,69,"Walmart","Fashion & Retail","M","United States","//specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441",46.4
